iso3,country,yl,K,ky_ratio,hc,hc_bl,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,kapw_nonres
NGA,NIGERIA,2162.0,687.528523,0.318006,,,,0.13005,0.384583,0.0,0.192292,0.100889,8.68,0.0246,0.0246,687.528523
NIC,NICARAGUA,4644.0,12183.91341,2.623582,1.626483,1.626483,3.63,0.004432,0.485139,0.27907,0.382104,0.134778,23.46,0.1305,0.7743,
NLD,NETHERLANDS,29352.0,21427.289353,0.730011,2.91503,2.91503,9.91,0.026839,0.928056,0.790698,0.859377,0.581889,35.84,0.0,0.0,21427.289353
NOR,NORWAY,29203.0,37360.709918,1.279345,2.867842,2.867842,9.67,0.134924,0.893681,0.790698,0.842189,0.665778,23.54,0.0,0.0,37360.709918
NZL,NEW ZEALAND,25695.0,26132.600152,1.017031,3.252292,3.252292,11.52,0.017215,0.910694,0.139535,0.525115,0.458889,8.19,0.803895,0.803895,26132.600152
OMN,OMAN,25518.0,76222.243673,2.986999,,,,0.492784,0.561111,0.0,0.280556,0.262444,34.19,0.0,0.005,
PAK,PAKISTAN,4581.0,5136.144723,1.121184,1.323209,1.323209,2.09,0.028774,0.395278,0.0,0.197639,0.374111,8.04,0.0,0.0,
PAN,PANAMA,7896.0,14540.101449,1.841452,2.229172,2.229172,6.63,0.00115,0.299583,0.0,0.149792,0.099667,23.56,0.1155,0.6853,14540.101449
PER,PERU,8578.0,9122.053535,1.063424,2.056139,2.056139,5.83,0.071864,0.370694,0.44186,0.406277,0.133889,7.03,0.12,0.712,9122.053535
PHL,PHILIPPINES,4565.0,2902.7393,0.635868,2.136588,2.136588,6.21,0.017361,0.376111,0.093023,0.234567,0.162222,8.84,0.0328,0.0328,2902.7393
PNG,PAPUA N.GUINEA,3412.0,7539.064709,2.209573,1.269369,1.269369,1.78,0.119342,0.616667,0.0,0.308333,0.104778,10.17,0.0164,0.0164,
POL,POLAND,8817.0,8884.475825,1.007653,2.60919,2.60919,8.28,0.044885,0.617153,0.046512,0.331832,0.580556,13.84,0.0,0.0098,8884.475825
PRI,PUERTO RICO,25228.0,56560.353767,2.241967,,,,0.0,,0.0,,0.205222,22.75,,,
PRT,PORTUGAL,13400.0,5022.905821,0.374844,1.799502,1.799502,4.51,0.009674,0.724167,0.790698,0.757432,0.430222,18.78,0.0,0.0,5022.905821
PRY,PARAGUAY,6044.0,789.459479,0.130619,1.94111,1.94111,5.26,0.004129,0.337917,0.069767,0.203842,0.280889,10.43,0.009,0.07,789.459479
QAT,QATAR,34289.0,162348.090745,4.734699,1.88508,1.88508,4.97,0.384828,0.424028,0.0,0.212014,0.280889,69.56,0.0,0.0084,
REU,REUNION,8199.0,24416.856485,2.978029,1.841794,1.841794,4.74,0.0,,0.0,,0.232,39.92,,,
ROU,ROMANIA,4210.0,10391.047606,2.468182,2.632358,2.632358,8.41,0.035614,0.419028,0.0,0.209514,0.493667,18.8,0.0,0.0,
RWA,RWANDA,1517.0,932.321035,0.614582,1.224264,1.224264,1.51,0.001838,,0.0,,0.021667,26.2,0.0,0.0,
SAU,SAUDI ARABIA,24128.0,60635.965564,2.513095,1.836222,1.836222,4.71,0.317715,0.528056,0.0,0.264028,0.274222,14.98,0.0,0.0089,
SDN,SUDAN,2353.0,2409.418787,1.023977,1.157266,1.157266,1.09,0.024406,0.234861,0.0,0.117431,0.172778,10.97,0.0,0.0041,
SEN,SENEGAL,2552.0,2056.458036,0.805822,1.360973,1.360973,2.3,0.006829,0.49375,0.0,0.246875,0.163556,19.87,0.0,0.0,
SGP,SINGAPORE,21495.0,70557.217695,3.282494,1.90614,1.90614,5.08,0.0,0.7275,0.651163,0.689331,0.014333,48.9,0.1148,0.1148,
SLB,SOLOMON IS.,6550.0,11659.120311,1.780018,,,,0.0,,0.0,,0.104778,25.12,0.0164,0.0164,
SLE,SIERRA LEONE,2417.0,186.791319,0.077282,1.182345,1.182345,1.25,0.025893,0.322778,0.0,0.161389,0.094222,27.81,0.0656,0.0656,186.791319
SLV,EL SALVADOR,5558.0,6691.744187,1.203984,1.577119,1.577119,3.4,0.003931,0.29375,0.325581,0.309666,0.152222,28.91,0.15,0.89,
SOM,SOMALIA,1729.0,2640.388376,1.527119,,,,0.003451,0.262222,0.0,0.131111,0.023,14.89,0.0,0.0,
SUN,U.S.S.R.,15013.0,62560.552637,4.167092,,,,0.0,0.612963,0.0,0.306481,0.619444,3.68,,,
SUR,SURINAME,9387.0,12968.643633,1.381554,,,,0.027274,0.355694,0.0,0.177847,0.065222,30.96,0.451,0.451,
SWE,SWEDEN,27978.0,24280.615385,0.867847,2.942913,2.942913,10.05,0.003461,0.925556,0.790698,0.858127,0.659222,18.22,0.0015,0.0089,24280.615385
SWZ,SWAZILAND,5890.0,10408.239077,1.767103,1.742272,1.742272,4.19,0.0,,0.0,,0.292444,56.87,,,
SYC,SEYCHELLES,7631.0,13319.299855,1.74542,,,,0.0,,0.0,,0.051333,84.98,0.0246,0.0246,
SYR,SYRIA,16953.0,10099.901356,0.595759,1.547808,1.547808,3.26,0.149645,0.449028,0.372093,0.41056,0.372222,37.44,0.0,0.0092,10099.901356
TCD,CHAD,1140.0,64.09,0.056219,,,,0.067896,,0.0,,0.134444,12.0,0.0,0.0009,64.09
TGO,TOGO,1551.0,96.23,0.062044,1.373799,1.373799,2.37,0.070264,0.307361,0.0,0.153681,0.068111,41.47,0.0,0.0,96.23
THA,THAILAND,5656.0,3506.134895,0.619897,1.547808,1.547808,3.26,0.01691,0.599653,1.0,0.799826,0.152778,9.45,0.0,0.0,3506.134895
TTO,TRINIDAD&TOBAGO,20928.0,47730.116553,2.280682,2.443765,2.443765,7.54,0.184957,0.507083,0.0,0.253542,0.118333,30.33,0.7216,0.7216,
TUN,TUNISIA,8357.0,14859.276979,1.778064,1.420601,1.420601,2.62,0.051076,0.5125,0.093023,0.302762,0.409111,23.83,0.0,0.0099,
TUR,TURKEY,7883.0,5431.994362,0.689077,1.7023,1.7023,3.97,0.015394,0.593194,0.162791,0.377993,0.443667,11.26,0.0,0.018698,5431.994362
TWN,TAIWAN,16503.0,18206.007194,1.103194,2.136588,2.136588,6.21,0.0,0.727778,0.674419,0.701098,0.278333,17.92,0.0,0.0,18206.007194
TZA,TANZANIA,1126.0,62.93,0.055888,1.527206,1.527206,3.16,0.0,0.467917,0.0,0.233958,0.068556,10.97,0.0,0.0001,62.93
