iso3,country,yl,K,ky_ratio,hc,hc_bl,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,rgdpo,emp,csh_i,delta,labsh
BHR,Bahrain,103645.799578,306858.804617,2.960649,2.438834,2.438834,7.52,0.159174,0.590675,0.748175,0.669425,0.291333,71.82,0.0,0.0055,77077.609375,0.743664,0.343203,0.034802,0.297053
BHS,Bahamas,62163.164903,263910.243041,4.245444,,,,0.007008,0.756052,0.73993,0.747991,0.278667,38.03,0.6478,0.6478,12887.391602,0.207316,0.332428,0.042622,0.39721
BIH,Bosnia and Herzegovina,65972.518039,147812.52709,2.240517,,,,0.021828,,0.693734,,0.487444,,0.0,0.0036,45538.425781,0.690264,0.220737,0.058033,0.671102
BLR,Belarus,47555.581621,110260.163341,2.318554,,,,0.009408,0.390278,0.543293,0.466785,0.598889,,0.0,0.038785,204795.34375,4.306442,0.162771,0.046292,0.592541
BLZ,Belize,13796.004445,34703.378665,2.515466,3.028175,3.028175,10.47,0.003227,,0.665827,,0.191667,87.48,0.542704,0.542704,2186.921631,0.158518,0.221507,0.053248,
BMU,Bermuda,91863.255985,550413.972637,5.991666,,,,0.0,,,,0.358889,,0.7954,0.7954,3142.393555,0.034207,0.25069,0.063066,0.588104
BOL,Bolivia (Plurinational State of),17828.069928,24248.8392,1.360149,2.652122,2.652122,8.52,0.125881,0.498909,0.452304,0.475606,0.183333,8.06,0.063,0.3738,98835.710938,5.543826,0.170845,0.071605,0.498507
BRA,Brazil,32781.530151,80172.654378,2.445665,2.443765,2.443765,7.54,0.018502,0.533433,0.494595,0.514014,0.175333,3.03,0.0,0.99,3080048.5,93.956825,0.171455,0.04933,0.577995
BRB,Barbados,26513.718856,99651.310436,3.758481,2.808021,2.808021,9.36,0.002229,,0.614333,,0.145556,56.1,0.7708,0.7708,3506.667969,0.132259,0.21655,0.037192,0.750566
BRN,Brunei Darussalam,142732.749524,514176.732263,3.602374,2.743844,2.743844,9.02,0.449756,0.615179,0.775162,0.69517,0.054222,,0.0246,0.0246,31737.773438,0.222358,0.321201,0.045761,
BTN,Bhutan,28047.114647,94826.698201,3.380979,,,,0.041747,,0.703631,,0.305222,37.74,0.0,0.0,8987.999023,0.320461,0.299457,0.046115,
