iso3,country,yl,rgdpo,emp,pop,K,ky_ratio,hc,hc_bl,hc_pwt,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,delta,labsh,csh_i
BMU,Bermuda,518857.265622,18485.671875,0.035628,0.060839,51452.791529,2.783388,,,,,,0.722623,,,0.358889,,0.7954,0.7954,0.072933,0.518808,0.258711
BOL,Bolivia (Plurinational State of),5557.723854,14350.956055,2.582164,6.580312,24698.804012,1.721056,1.960815,1.960815,2.099494,5.36,0.10973,0.445055,,,0.183333,8.06,0.063,0.3738,0.047297,0.546551,0.104664
BRA,Brazil,16229.787411,956651.8125,58.944199,143.627503,1942048.962883,2.030048,1.617788,1.617788,1.678103,3.59,0.015843,0.510175,0.046512,0.278343,0.175333,3.03,0.0,0.99,0.04468,0.514606,0.195659
BRB,Barbados,40339.78666,4046.080566,0.1003,0.258977,5834.17575,1.441933,2.397317,2.397317,2.505535,7.35,0.001941,0.71274,1.0,0.85637,0.145556,56.1,0.7708,0.7708,0.03613,0.750566,0.102782
BRN,Brunei Darussalam,128618.805929,12030.383789,0.093535,0.244404,29426.819443,2.446042,2.229172,2.229172,2.350981,6.63,0.471724,0.674066,,,0.054222,,0.0246,0.0246,0.044447,,0.299839
BTN,Bhutan,7591.07562,1469.168457,0.193539,0.50954,4463.987067,3.038445,,,,,0.009782,0.574421,,,0.305222,37.74,0.0,0.0,0.041764,,0.352797
BWA,Botswana,17385.108144,6687.51123,0.384669,1.200067,7625.375338,1.140241,1.686407,1.686407,1.866297,3.9,0.40238,0.636662,0.518519,0.57759,0.273889,24.03,,,0.045845,0.349185,0.07819
CAF,Central African Republic,3061.126975,3251.904053,1.062322,2.693973,7866.672827,2.419097,1.220988,1.220988,1.224147,1.49,0.054066,0.282795,,,0.048556,15.13,0.0,0.0,0.04529,0.231892,0.129743
CAN,Canada,69440.282955,901253.1875,12.978824,26.806125,2405664.517838,2.669244,2.899215,2.899215,3.248534,9.83,0.043476,0.883419,0.930233,0.906826,0.504667,4.97,0.437144,0.437144,0.035418,0.681399,0.281211
CHE,Switzerland,70110.192723,254687.171875,3.63267,6.550725,1202426.906752,4.721191,3.007653,3.007653,3.435453,10.37,0.001889,0.894256,1.0,0.947128,0.521667,32.57,0.011175,0.576,0.04445,0.683344,0.390086
CHL,Chile,23652.601102,95079.226562,4.019821,12.847708,140075.069684,1.473246,2.368436,2.368436,2.595089,7.23,0.128051,0.761181,0.395349,0.578265,0.371667,7.25,0.1335,0.7921,0.024369,0.477676,0.151258
CHN,China,4694.072225,2899746.5,617.74646,1137.724227,5455909.096391,1.881512,1.84925,1.84925,1.912245,4.78,,0.447274,0.0,0.223637,0.443556,2.3,0.0,0.0,0.054595,0.592169,0.27248
CIV,Côte d'Ivoire,7912.210382,28514.046875,3.603803,11.094748,28794.949498,1.009851,1.254152,1.254152,1.240082,1.69,0.002805,0.496272,0.0,0.248136,0.059444,16.58,0.0,0.0,0.044635,0.569372,0.045129
CMR,Cameroon,7127.202478,33349.800781,4.679227,11.075422,53102.58952,1.592291,1.453334,1.453334,1.472492,2.79,0.049013,0.308692,0.0,0.154346,0.043,15.79,0.0,0.0,0.047999,0.555015,0.119702
COD,D.R. of the Congo,5792.478914,63540.230469,10.969437,32.443781,212909.314908,3.35078,1.247448,1.247448,1.3086,1.65,0.105153,0.19001,,,0.048,,0.0,0.0,0.024464,,0.249997
